80586	106093	571002
629835	167065	25472
291506	215501	861044
760161	184349	134231
852660	4456	634138
771357	287411	127177
647311	855608	360457
335333	249065	173760
720515	154847	922656
910028	104627	143389
253941	380255	669808
288676	971927	859652
573689	267769	760662
911902	407173	5849
305767	23411	50857
998195	50151	725413
983634	704951	913468
617183	489171	988392
968359	44208	700392
296009	511137	216844
809409	349277	502627
297070	28442	699691
707148	649442	732188
547832	550338	885384
422198	179075	522244
451214	659693	76916
636261	262546	428521
675916	772580	808471
28199	523828	325879
220201	709822	534632
112991	45962	704222
512174	662370	923968
245499	24647	677602
469356	231974	922188
896121	314093	324403
896517	103267	675965
103939	766767	180221
656479	547279	725472
296757	228714	384414
607482	849865	629843
716778	483950	36969
770949	349859	390587
173087	321264	201059
294477	433812	223416
612734	588062	87303
129251	370051	837068
901012	484518	531246
89384	614392	585643
601759	191216	657482
45994	87965	542254
125034	19865	783258
804697	168785	91116
897091	725269	706715
448016	175406	376852
880427	952710	730808
544674	829956	595256
941439	986070	984931
318238	778348	653322
768303	602647	878237
995334	142121	134207
548512	791512	856579
950652	47899	139901
701370	816197	684590
535387	983333	442670
991809	790443	396576
31045	726642	575728
394021	628332	589695
342353	324982	243477
764389	746660	578091
896563	419994	701357
346261	794618	803288
736302	240815	552154
343178	816913	34992
718482	31320	765629
225575	755437	346161
175886	563458	825431
559472	770892	31016
764547	430876	352050
901111	346044	355578
199324	958671	331225
83121	324206	950641
35374	26703	139087
391615	640613	22609
470800	637466	675866
416325	870052	670383
585398	310436	859765
947966	467094	408883
860401	496710	485222
373996	814722	596982
684626	456209	329703
507373	31625	936996
231338	846069	540748
400746	465244	168734
955822	826460	959666
782280	842433	693975
301435	160231	196345
906672	87230	164768
819051	703541	558085
313943	460942	550261
80700	886535	92891
87302	671040	151198
554585	725581	299711
741570	228453	642666
478537	56241	289923
405308	319104	179894
708581	74617	831181
258367	227499	202294
457914	873303	551678
108899	253715	965376
970108	97658	835879
751477	427270	520640
581998	155145	415584
420532	65439	829761
163560	450935	874201
161121	959639	513255
493783	553666	985396
757971	137439	199215
629974	948929	362008
105637	406281	867374
646462	880464	168630
117352	430895	905301
431538	646429	152596
282344	509922	375275
52706	564739	533792
224340	270069	431317
906875	435701	507695
939783	515507	621243
577874	304051	76514
508605	122500	302014
49954	900509	665304
197465	96591	894696
596285	355092	615234
917814	196303	233669
783505	345317	511403
186435	56089	131257
923935	368622	832569
136423	427165	531929
858079	967544	989624
763571	656858	160477
71719	31919	817590
891992	441150	546950
987287	662384	798364
252285	725780	320337
548188	112048	301122
943357	711502	489698
936554	5187	47657
138313	421234	837434
379780	114601	10485
196446	275615	867556
625445	113625	85940
517787	748679	454935
51206	278203	122232
549572	62907	486653
180469	817564	708836
824381	110221	243474
924280	192377	927861
187064	517214	877657
411173	368810	65573
966669	539064	812306
40422	360553	537886
394355	546527	671468
845743	531236	659404
176250	346448	579749
357612	175269	172660
739412	53036	411669
66587	698568	202506
543247	936026	438128
832846	375205	780618
